name,link
University at Buffalo,http://www.buffalo.edu/news.html
University of Advancing Technology,https://www.uat.edu/
University of Akron Main Campus,https://www.uakron.edu/
University of Akron Wayne College,https://wayne.uakron.edu/news-media/
University of Alabama at Birmingham,https://www.uab.edu/news
University of Alabama in Huntsville,https://www.uah.edu/news
University of Alaska Anchorage,https://www.uaa.alaska.edu/news/
University of Alaska Fairbanks,https://news.uaf.edu/
University of Alaska Southeast,https://uas.alaska.edu/about/news-and-media.html
University of Antelope Valley,https://www.uav.edu/article.php
University of Arizona,https://news.arizona.edu/
University of Arizona-South,https://news.arizona.edu/
University of Arkansas,https://news.uark.edu/
University of Arkansas at Little Rock,https://ualr.edu/news/
University of Arkansas at Monticello,http://www.monticellolive.com/category/uam-news/
University of Arkansas at Pine Bluff,http://www.uapb.edu/Newslisting.aspx
University of Arkansas Community College at Hope - Texarkana,https://www.uaht.edu/
University of Arkansas Community College Rich Mountain,https://www.uarichmountain.edu/
University of Arkansas Community College-Batesville,https://www.uaccb.edu/news/
University of Arkansas Community College-Hope,https://www.usnews.com/education/community-colleges/university-of-arkansas-community-college-hope-CC08856
University of Arkansas Community College-Morrilton,https://www.usnews.com/education/community-colleges/university-of-arkansas-community-college-morrilton-CC08862
University of Arkansas for Medical Sciences,https://news.uams.edu/
University of Arkansas-Fort Smith,https://uafs.edu/news/index.php
University of Arkansas-Pulaski Technical College,https://uaptc.edu/news
University of Baltimore,https://www.ubalt.edu/news/
University of Bridgeport,https://www.bridgeport.edu/news
University of California-Berkeley,https://news.berkeley.edu/
University of California-Davis,https://www.ucdavis.edu/news
University of California-Hastings College of Law,https://www.uchastings.edu/news/
University of California-Irvine,https://news.uci.edu/
University of California-Los Angeles,https://newsroom.ucla.edu/
University of California-Merced,https://news.ucmerced.edu/
University of California-Riverside,https://news.ucr.edu/
University of California-San Diego,https://ucsdnews.ucsd.edu/
University of California-San Francisco,https://www.ucsf.edu/news
University of California-Santa Barbara,https://www.news.ucsb.edu/
University of California-Santa Cruz,https://news.ucsc.edu/
University of Central Arkansas,https://uca.edu/news/
University of Central Florida,https://www.ucf.edu/news/
University of Central Missouri,https://www.ucmo.edu/news/
University of Central Oklahoma,https://www.uco.edu/news
University of Charleston,https://www.ucwv.edu/news/
University of Chicago,https://news.uchicago.edu/
University of Cincinnati-Blue Ash College,https://ucblueash.edu/
University of Cincinnati-Clermont College,https://ucclermont.edu/
University of Cincinnati-Main Campus,https://www.uc.edu/news
University of Colorado Boulder,https://www.colorado.edu/today/
University of Colorado Colorado Springs,https://www.uccs.edu/news
University of Colorado Denver/Anschutz Medical Campus,https://news.cuanschutz.edu/
University of Connecticut,https://today.uconn.edu/
University of Connecticut-Avery Point,https://averypoint.uconn.edu/
University of Connecticut-Hartford Campus,https://hartford.uconn.edu/
University of Connecticut-Stamford,https://stamford.uconn.edu/
University of Connecticut-Waterbury Campus,https://waterbury.uconn.edu/
University of Dallas,https://udallasnews.com/
University of Dayton,https://udayton.edu/news/index.php
University of Delaware,https://www.udel.edu/udaily/
University of Denver,https://www.du.edu/news
University of Detroit Mercy,https://www.udmercy.edu/about/news/index.php
University of Dubuque,https://www.dbq.edu/NewsEvents/
University of East-West Medicine,https://uewm.edu/
University of Evansville,https://www.evansville.edu/news/
University of Florida,https://news.ufl.edu/
University of Florida-Online,https://news.ufl.edu/
University of Fort Lauderdale,https://uftl.edu/
University of Georgia,https://news.uga.edu/
University of Guam,https://www.uog.edu/news-announcements/index.php
University of Hartford,https://www.hartford.edu/news/
University of Hawaii at Hilo,https://hilo.hawaii.edu/news/
University of Hawaii at Manoa,https://www.hawaii.edu/news/
University of Hawaii Maui College,http://maui.hawaii.edu/foodinnovation/news/
University of Hawaii-West Oahu,https://westoahu.hawaii.edu/news/
University of Holy Cross,https://uhcno.edu/news/
University of Houston,https://uh.edu/news-events/
University of Houston-Clear Lake,https://www.uhcl.edu/news-events/
University of Houston-Downtown,https://news.uhd.edu/
University of Houston-Victoria,https://news.uhv.edu/
University of Idaho,https://www.uidaho.edu/news
University of Illinois at Chicago,https://today.uic.edu/
University of Illinois at Springfield,https://www.uis.edu/newsroom
University of Illinois at Urbana-Champaign,https://www.uis.edu/newsroom
University of Indianapolis,https://www.uis.edu/newsroom
University of Iowa,https://www.uis.edu/newsroom
University of Jamestown,https://www.uis.edu/newsroom
University of Kansas,https://today.ku.edu/
University of Kentucky,https://uknow.uky.edu/
University of La Verne,https://laverne.edu/news/
University of Louisiana at Lafayette,https://louisiana.edu/news-events/news
University of Louisiana at Monroe,https://www.ulm.edu/news/
University of Louisville,https://www.uoflnews.com/
University of Lynchburg,https://www.lynchburg.edu/news/
University of Maine,https://umaine.edu/news/
University of Maine at Augusta,https://www.uma.edu/news/
University of Maine at Farmington,https://flyer.umf.maine.edu/
University of Maine at Fort Kent,https://www.umfk.edu/news/
University of Maine at Machias,https://machias.edu/news/
University of Maine at Presque Isle,https://www.umpi.edu/news/
University of Management and Technology,https://www.umtweb.edu/News.aspx
University of Mary,https://news.umary.edu/
University of Mary Hardin-Baylor,https://go.umhb.edu/news
University of Mary Washington,https://www.umw.edu/news/
University of Maryland Baltimore,https://www.umaryland.edu/news/
University of Maryland Eastern Shore,https://www.umes.edu/LMRCSC/Content/News/
University of Maryland-Baltimore County,https://news.umbc.edu/
University of Maryland-College Park,https://umdrightnow.umd.edu/news-releases
