,Description,url
0,"1. Choosing the correct breastfeeding hold for a mother and her baby.
2. Mother’s preparation before breastfeeding her baby.
3. Step-by-step procedure for Cross Cradle hold-
i. Mother’s position before holding the baby
ii. Mother’s position after holding the baby but before latching
a) Position of Mother's hand to hold the breast correctly.
iii. Mother’s position after attaching the baby to the breast
iv. Baby’s position
a) Position of baby's nose and chin
b) Position of baby's body
v. Dos and don’ts for mothers.",https://www.youtube.com/watch?v=jcd3_NgeDjI&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=1
1,"1. Correct latching technique for deep attachment of the baby to the breast.
  -Step-by-step procedure for attaching the baby deeply to the  breast.
  -Signs to check whether the baby has latched on correctly.
  -Signs to check whether the baby is nipple feeding.
  -Foremilk and hindmilk feeding.
  -Feeding from the second breast.
  -Baby’s correct burping position
2. Breastfeeding frequency.
  -Number of breastfeeding sessions required in 24 hours.
  -Day and night breastfeeding sessions.
  -Baby’s hunger cues.
  -Feeding during baby’s growth spurts",https://www.youtube.com/watch?v=thc5MYcZwzc&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=2
2,"Outline:

1. What is breastfeeding
2. Importance of breastfeeding the baby within 1 hour of birth
3. Colostrum and its benefits
4. Importance of breastfeeding
5. Advantages of breastfeeding for the baby
6. Breast milk and development of healthy intestine
7. Breast milk and reduced risk of various diseases
8. Effect of breast milk on brain development
9. Advantages of breastfeeding for premature babies
10. Immediate benefits of breastfeeding on the mother
11. Long term benefits of breastfeeding on the mother
12. Economical benefits of breastfeeding
13. Environmental benefits of breastfeeding",https://www.youtube.com/watch?v=WjKtdzQ_w8E&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=3
3,"1. COVID-19
     a. What is COVID-19?
     b. How it spreads
     c. Symptoms of this disease

2. Breastfeeding during COVID-19
    a. Importance of breast milk
    b. General guidelines for infant feeding
    c. Guidelines to maintain hygiene while feeding the baby
    d. Guidelines for mothers or babies who are exposed to COVID-19
                *Use of medical masks, tissues or tissue paper and handkerchiefs
                *Options for feeding the baby when the mother is unwell
    e. Skin-to-skin contact and kangaroo mother care.",https://www.youtube.com/watch?v=XnbWSfSYcHw&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=4
4,"1. Choosing the correct breastfeeding hold for a mother and her baby.
2. Mother’s preparation before breastfeeding her baby.
3. Step-by-step procedure for Football hold-
i. Mother’s position before holding the baby
ii. Mother’s position after holding the baby but before latching.
a) Position of Mother's hand to hold the breast correctly.
iii. Mother’s position after attaching the baby to her breast.
iv. Baby’s position.
a) Position of baby's nose and chin
b) Position of baby's body
v. Dos and don'ts for mothers",https://www.youtube.com/watch?v=5b7Z4vpgtLU&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=5
5,"1. Choosing the correct breastfeeding hold for a mother and her baby
2. Mother’s preparation before breastfeeding her baby.
3. How to do the laid-back hold-
3.1) Mother’s position
3.1.1 Mother's position before holding the baby
3.1.2. Mother’s position after holding the baby but before latching
3.1.3. Position of Mother's hand to hold the breast correctly.
3.1.4. Mother’s position after attaching the baby to the breast
3.2) Baby’s position
3.2.1 Position of baby's nose and chin
3.2.2 Position of baby's body.
3.3) Dos and don’ts for mothers",https://www.youtube.com/watch?v=rUauIbqpxd4&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=6
6,"1. Choosing the correct breastfeeding hold for a mother and her baby.
2. Mother’s preparation before breastfeeding her baby.
3. How to do the Side-lying hold-
i. Mother’s position before holding the baby
ii. Mother’s position after holding the baby but before latching
a) Position of Mother's hand to hold the breast correctly.
iii. Mother’s position after attaching the baby to the breast
iv. Baby’s position
a) Position of baby's nose and chin
b) Position of baby's body
v. Dos and don’ts for mothers",https://www.youtube.com/watch?v=vk2LlFRB-Og&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=7
7,"1. Choosing the correct breastfeeding hold for a mother and her baby
2. Mother’s preparation before breastfeeding her baby.
3. How to do the Cradle hold-
i. Mother’s position before holding the baby
ii. Mother’s position after holding the baby but before latching
a) Position of Mother's hand to hold the breast correctly.
iii. Mother’s position after attaching the baby to the breast
iv. Baby’s position
a) Position of baby's nose and chin
b) Position of baby's body
v. Dos and don’ts for mothers.",https://www.youtube.com/watch?v=aHZYFlPaHf8&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=8
8,"Outline:
1. Uses of growth charts
2. Development of growth charts
3. Multicentre Growth Reference Study
4. Growth indicators
 a. Weight-for-age
 b. Length-for-age
5. Length-for-age percentile growth chart from WHO
a. Terms related to graphs - X and Y axes
b. Steps for plotting points on the growth chart
c. Curved coloured percentile lines
d. Examples for each percentile line
e. Example of plotting and interpreting plotted points
f. Average length of children on the 50th percentile",https://www.youtube.com/watch?v=-_HcHkXIbHA&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=9
9,"Outline:
1. Weight-for-age percentile growth chart from WHO
a. Steps for plotting points on the growth chart
b. Example of plotting and interpreting plotted points
2. Average growth of a child
a. Weight on the 50th percentile line
b. Weekly weight gain of a boy
c. Daily weight gain of a boy
3. Growth problems indicated by growth charts
a. Sharp incline in the growth charts
i. Incline because of effective breastfeeding
ii. Incline because of adequate complementary feeding
b. Sharp decline in the growth charts
c. Flat growth line in the growth charts
d. Slow growth",https://www.youtube.com/watch?v=XL-yrimto1k&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=10
10,"1. What is breast crawl..
     a. Breast crawl and stable babies
     b. Breast crawl and unstable babies
2. Preparation for breast crawl
3. Breast crawl procedure for babies born by natural delivery
4. Breast crawl procedure for babies born by caesarean delivery
5. Duration of breast crawl
6. Importance of breast crawl for the baby
    a. Importance of colostrum for the baby
    b. Importance of skin-to-skin contact between the mother and the baby
7. Importance of breast crawl for the mother",https://www.youtube.com/watch?v=1Z9UxYDcSFg&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=11
11,"Outline:
Early skin-to-skin contact in the operating room (OR) immediately after cesarean delivery:
1. Its benefits for the mother and the baby
     a. Breastfeeding
     b. Heart rate, blood pressure, temperature after delivery.
2. Its preparation
     a. Training of all those responsible for newborn care
     b. Guidelines for safety of mothers and babies
     c. Assigned nurse’s duties before the date of delivery
     d. Steps to be followed in the OR, before the delivery
           i  Arm boards and IV lines
           ii Mother’s clothes
           iii Temperature, diaper, warm towels for the baby.",https://www.youtube.com/watch?v=stiFPDBjavM&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=12
